,acc_05-dims
899,0.007373272
900,0.007607682
901,0.00921659
902,0.004155457
903,0.000921659
904,0.031133960203510825
905,0.001156069
906,0.002764977
907,0
908,0.002312139
909,0.020542873125382916
910,0.028368983244985484
911,0.018449162249274127
912,0.011528728590074852
913,0.028587411097200394
914,0.021917370341759678
915,0.000921659
916,0.023760688314109907
917,0.023275885032364614
918,0.018214752
919,0.011997549
920,0.006702006
921,0.015215364534775311
922,0.012684797954236701
923,0.014996936682560403
924,0.000921659
925,0.005077116
926,0.002077728
927,0
928,0.003686636
929,0.002764977
930,0.005529954
931,0.007373272
932,0.007373272
933,0.011075890359873204
934,0.00921659
935,0.011528728590074852
936,0.011981566820276499
937,0.009451
938,0.008529341
939,0.006451613
940,0.003686636
941,0.011763138968061585
942,0.00921659
943,0.010138248847926268
944,0.009451
945,0.007858075
946,0.012450387576249968
947,0.021214139207799472
948,0.025119203004714846
949,0.024900775152499936
950,0.007154844
951,0.005998775
952,0.012903225806451613
953,0.00921659
954,0.002077728
955,0.003921046
956,0.008076503
957,0.006451613
958,0.012903225806451613
959,0.005077116
960,0.008998162
961,0.013840867
962,0.017980341493300654
963,0.014746543778801843
964,0.003921046
965,0
966,0.012919208332223436
967,0.02168296
968,0.013824884792626727
969,0
970,0.003686636
971,0.002999387
972,0.000921659
973,0.006451613
974,0.008294931
975,0.004842705
976,0.021917370341759675
977,0.005311526
978,0.005529954
979,0.005077116
980,0.007154844
981,0.002999387
982,0.000921659
983,0.008998162
984,0.005077116
985,0.016872219706454274
986,0.008310913
987,0.004842705
988,0.008092486
989,0.001843318
990,0.001156069
991,0.002764977
992,0.007607682
993,0.000921659
994,0.006686023
995,0.007373272
996,0.011294318212088117
997,0.000921659
998,0.007154844
999,0.012231959724035055
1000,0.018715538
1001,0.007842093
1002,0.011997549
1003,0.011981566820276499
1004,0.010607069603899736
1005,0
1006,0.008763752
1007,0.007623665
1008,0.003468208
1009,0.003686636
1010,0.012684797954236701
1011,0.005764364
1012,0.001843318
1013,0.003686636
1014,0
1015,0.005998775
1016,0.006920434
1017,0.002312139
1018,0.004155457
1019,0.006451613
1020,0.002077728
1021,0.002077728
1022,0.002999387
1023,0.007154844
1024,0.003233798
1025,0.008076503
1026,0.002764977
1027,0.006233185
1028,0.008310913
1029,0.009014145
1030,0.007389254
1031,0
1032,0.002077728
1033,0.010154231
1034,0.011528728590074852
1035,0.005998775
1036,0.002764977
1037,0.007607682
1038,0.003921046
1039,0.008529341
1040,0.003686636
1041,0.015684185290748782
1042,0.002077728
1043,0.001156069
1044,0.007623665
1045,0.005529954
1046,0
1047,0.005077116
1048,0.012013531871820143
1049,0.027196931
1050,0.012684797954236701
1051,0.008294931
1052,0.009701393
